Uncollected waste near City Park causing health hazards.,High,City Park,true
Strong odor from waste in the market area.,Low,Market Area,true
Repeated missed pickups in Greenfield neighborhood,High,St. John's Hospital,true
Overflowing bins near St. John's Hospital.,Medium,GreenField,true
Overflowing bins near St. John's Hospital.,High,City Park,true
Repeated missed pickups in Greenfield neighborhood,High,GreenField,true
Overflowing bins near St. John's Hospital.pp,High,Market Area,true
Uncollected waste near City Park causing health hazards.,Medium,St. John's Hospital,true
Strong odor from waste in the market area.,Medium,Market Area,true
Strong odor from waste in the market area.,Low,City Park,true
Overflowing bins near St. John's Hospital.,High,City Park,true
bhb,High,bhgh,true
Overflowing bins near St. John's Hospital.,High,City Park,true
Uncollected waste near City Park causing health hazards.,Medium,St. John's Hospital,true
Strong odor from waste in the market area.,Low,Market Area,true
Overflowing bins near St. John's Hospital.,High,City Park,true
Overflowing bins near St. John's Hospital.,High,GreenField,true
Uncollected waste near City Park causing health hazards.,High,Market Area,true
Overflowing bins near St. John's Hospital.,High,City Park,true
Overflowing bins near St. John's Hospital.,High,City Park,true
Overflowing bins near St. John's Hospital.,High,City Park,true
Strong odor from waste in the market area.,High,Market Area,true
Strong odor from waste in the market area.,High,anvi,true
Overflowing bins near St. John's Hospital.pp,High,Market Area,true
Uncollected waste near City Park causing health hazards.,High,Market Area,true
Overflowing bins near St. John's Hospital.,High,City Park,true
